cod_municipio;modulo_fiscal_ha;fracao_minima_parcelamento_ha;zona_tipica_modulo;zona_pecuaria;data_referencia;fonte;observacao
2303659;55.0;3.0;B2;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303709;15.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303808;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303907;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303931;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303956;16.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304004;55.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304103;80.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304202;26.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304236;45.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304251;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304269;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304277;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304285;10.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304301;50.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304350;50.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304400;5.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304459;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304509;50.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304608;50.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304657;40.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304707;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304806;45.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304905;55.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2304954;15.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305001;45.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305100;20.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305209;50.0;3.0;B2;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305233;16.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305266;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305308;45.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305332;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305357;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305407;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305506;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305605;80.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305654;70.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305704;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305803;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2305902;70.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306009;60.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306108;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306207;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306256;15.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306306;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306405;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306504;45.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306553;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306603;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306702;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306801;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2306900;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307007;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307106;26.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307205;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307254;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307304;26.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307403;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307502;40.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307601;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307635;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307650;15.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307700;15.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307809;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2307908;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308005;50.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308104;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308203;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308302;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308351;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308377;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308401;26.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308500;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308609;80.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2308708;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
