cod_municipio;area_geometrica_uniao_ha;area_agropecuaria_mapbiomas_ha;area_vegetacao_mapbiomas_ha;ano_mapbiomas
4123303;42525.7031;31187.2511;2849.0407;2024
4123402;25521.3886;18217.201599999997;1829.2351;2024
4123501;126115.4978;30972.033300000003;14645.4473;2024
4123600;14709.8506;11281.3904;475.759;2024
4123709;32453.794;23047.2343;1617.828;2024
4123808;30395.399;18996.6924;6323.3196;2024
4123824;11348.7903;7666.803;2158.4394;2024
4123857;77838.2309;42587.4582;20503.6114;2024
4123907;39547.0125;32748.847700000002;4371.0344;2024
4123956;24313.9941;16801.6239;1823.0573;2024
4124004;22913.7107;14253.6585;3565.8216;2024
4124020;30976.8458;22496.8164;5710.5063;2024
4124053;20540.7928;16678.5617;3913.1771;2024
4124103;65242.4778;43550.301900000006;6490.3538;2024
4124202;19781.8545;13475.2086;1368.4991;2024
4124301;16491.1219;10882.2412;2934.4829;2024
4124400;28708.3499;17999.7158;6126.0279;2024
4124509;26106.4952;18395.7964;924.5267;2024
4124608;21144.7661;16923.503;1338.1811;2024
4124707;70114.5512;37681.948;22883.3344;2024
4124806;35773.9217;23917.7961;6236.0982;2024
4124905;28695.1227;21881.5656;1831.3375;2024
4125001;32540.9704;26268.533900000002;2473.5109;2024
4125100;63770.2813;29293.6023;31546.8245;2024
4125209;33174.8621;17696.5534;7935.8801;2024
4125308;29903.0586;27029.979199999998;1803.4476;2024
4125357;32222.2041;12650.2013;2401.1746;2024
4125407;35858.0332;25815.569900000002;6718.247;2024
4125456;16470.9693;8528.0051;4367.4764;2024
4125506;80579.5366;16772.5265;50958.9837;2024
4125555;9381.2556;6236.8354;1640.753;2024
4125605;115611.0083;55639.0354;52608.375;2024
4125704;61052.407;48369.7521;18795.8992;2024
4125753;28800.1044;19668.5344;5747.0148;2024
4125803;30893.3073;22440.793;3643.2531;2024
4125902;21608.0993;16888.5718;1233.6603;2024
4126009;22587.4525;16897.3981;2716.3257;2024
4126108;22616.2875;14720.4439;3417.7243;2024
4126207;63969.6475;30731.696500000002;20421.7763;2024
4126256;7538.8344;6531.2433;515.3328;2024
4126272;12835.6785;6513.900799999999;2782.6438;2024
4126306;133088.8035;89956.68599999999;42036.8022;2024
4126355;16720.9811;13467.7276;30559.3478;2024
4126405;33335.0974;29844.253099999998;1672.7503;2024
4126504;43296.8489;36886.0361;4430.5945;2024
4126603;23681.2537;15687.5802;3229.139;2024
4126652;14899.8958;9304.5824;2972.6331;2024
4126678;39394.3277;22077.1289;14405.5778;2024
4126702;17760.6236;11844.329800000001;1277.3522;2024
4126801;58658.0752;41469.8088;4522.396;2024
4126900;39465.4518;28166.382499999996;3181.5093;2024
4127007;84672.8819;49056.614199999996;29714.8509;2024
4127106;137204.2586;78893.1275;49160.6507;2024
4127205;30791.8663;20032.5023;6684.1206;2024
4127304;74328.9031;46613.1705;3443.1187;2024
4127403;75692.179;58647.831999999995;7058.0459;2024
4127502;289166.816;172692.52289999998;93223.75779999999;2024
4127601;56354.3819;18996.6013;36844.7416;2024
4127700;109539.8393;85825.39050000001;15675.6829;2024
4127809;55412.8523;31619.7652;9487.9587;2024
4127858;41173.0383;23557.4055;12880.4853;2024
4127882;54653.996;14698.0732;43578.512299999995;2024
4127908;58128.2964;41331.0562;12899.5368;2024
4127957;28136.1118;25921.8534;1246.2364;2024
4127965;68033.4303;33550.041;41343.9676;2024
4128005;60403.5762;49896.607500000006;7016.7082;2024
4128104;114453.5538;78049.8128;10354.3665;2024
4128203;57171.9982;16155.7007;45289.6839;2024
4128302;9308.1276;6330.4335;621.8581;2024
4128401;22112.8591;15092.3808;2356.5846;2024
4128500;36818.898;23233.7282;7086.4683;2024
4128534;80533.3698;45749.3916;27969.519800000002;2024
4128559;29750.2123;22477.249600000003;4723.4247;2024
4128609;29765.7346;18357.1057;5078.5949;2024
4128625;84605.1263;36752.9695;7646.8836;2024
4128633;74128.1256;25288.6235;40296.8603;2024
4128658;21810.9216;13862.1639;5399.7091;2024
4128708;28939.8609;20093.6253;6209.9642;2024
4128807;33988.0055;22906.411099999998;2064.5703;2024
4200051;20158.803;8081.8463;9747.555400000001;2024
4200101;88175.9718;54205.5457;25609.6949;2024
4200200;18150.9689;8108.9813;8028.5216;2024
4200309;12038.9432;5118.3878;3767.8191;2024
4200408;128198.5636;72414.4568;33913.2846;2024
4200507;12121.5672;5113.5979;3059.517;2024
4200556;6841.2515;3209.5544;1803.2614;2024
4200606;22533.6683;4217.7268;24348.6246;2024
4200705;63832.8363;25120.2074;35930.6005;2024
4200754;7442.515;2291.0039;3066.2712;2024
4200804;21746.6589;11132.101499999999;5589.958;2024
4200903;39478.148;9679.9515;32913.1279;2024
4201000;59937.9449;17957.6691;30363.8339;2024
4201109;43678.1494;10035.0579;39072.705;2024
4201208;19894.6866;3370.8891999999996;15931.727700000001;2024
4201257;37679.0247;6380.6076;35947.0197;2024
4201273;12085.5865;2905.4596;5407.2601;2024
4201307;27864.248;7419.9339;17396.856699999997;2024
4201406;20698.379;12152.2852;2692.3989;2024
4201505;14274.1642;6019.060699999999;6046.1317;2024
4201604;8783.3801;3200.119;3820.5097;2024
4201653;7950.9981;2693.8112;2950.1398;2024
4201703;7061.466;1296.1977;7847.4326;2024
4201802;8996.4922;3792.2264;2504.9381;2024
4201901;18934.9107;5953.8414;7936.3971;2024
4201950;6322.7921;696.6189;961.1783;2024
4202008;61.7887;44.722699999999996;2109.4465;2024
4202057;7771.7326;985.8829000000001;6404.4214999999995;2024
4202073;10552.6885;2726.5757999999996;1143.9477000000002;2024
4202081;13381.8199;5690.5849;5185.2471;2024
4202099;8447.8628;3909.7526000000003;2859.0801;2024
4202107;9543.5544;2633.0971999999997;3972.4776;2024
4202131;49510.8425;21595.6571;23966.9722;2024
4202156;8772.5547;3847.9697;2696.8851;2024
4202206;31990.0721;6675.4483;25548.545000000002;2024
4202305;17854.7099;6000.411;16849.952699999998;2024
4202404;18664.3768;1399.1952;34572.264500000005;2024
4202438;43474.2979;21831.4358;23172.898100000002;2024
4202453;155.8073;94.1034;1977.8174;2024
4202503;76925.4241;2472.7863;90073.10810000001;2024
4202537;5806.0334;4110.3732;698.7169;2024
4202578;5827.5625;3478.4029000000005;1204.4604;2024
4202602;101800.8823;34527.194;57900.4187;2024
4202701;18116.9414;2309.5139;24383.046;2024
4202800;17471.0304;6543.9522;5858.685100000001;2024
4202859;8017.076;3734.1461;2747.781;2024
4202875;31828.6362;19774.7464;6387.4157;2024
4202909;8832.4807;2000.309;17340.2176;2024
4203006;88752.4975;42980.0455;35287.2214;2024
4203105;15327.2778;6812.8986;4487.7552;2024
4203154;58937.05;30235.5157;25555.3182;2024
4203204;14336.0737;2565.7307;12937.9527;2024
4203253;121447.6116;30625.603;98357.3692;2024
4203303;43013.6259;14700.6175;25064.8104;2024
4203402;89964.6014;36870.4124;56506.3467;2024
4203501;44786.5142;28008.6299;10437.4979;2024
4203600;164577.5668;97078.09610000001;53209.284999999996;2024
4203709;8693.0511;3240.1762999999996;7336.9355000000005;2024
4203808;95737.9671;52882.7951;37914.2986;2024
4203907;21179.051;11319.2148;6721.1203000000005;2024
4203956;3784.6964;2364.0993;258.0753;2024
4204004;17755.449;8345.1014;7856.5077;2024
4204103;13221.1445;6158.4225;3095.8685;2024
4204152;16243.5957;7602.2563;8457.579600000001;2024
4204178;34320.0886;11658.4696;24515.3599;2024
4204194;10755.1176;4344.4467;4252.341100000001;2024
4204202;45598.3246;20303.6188;18747.2553;2024
4204251;4899.5186;1738.7248;2553.2490000000003;2024
4204301;74301.8556;23000.210099999997;26531.9591;2024
4204350;7338.3626;2452.1564;2980.7407;2024
4204400;21581.2242;10429.6424;6573.2283;2024
4204459;9824.4012;5532.6077;1915.9808;2024
4204509;32262.679;1974.9995999999999;31412.609399999998;2024
4204558;54420.285;33956.9557;23517.7778;2024
4204608;11650.7866;4373.5676;5026.182400000001;2024
4204707;20616.5281;9996.241;5616.3052;2024
4204756;5222.0175;1535.9652;1755.576;2024
4204806;88322.227;46863.5175;25712.5381;2024
4204905;26407.0597;13189.762;7269.7657;2024
4205001;9.0359;18835.8884;7754.1246;2024
4205100;16174.237;6749.2923;7406.4027;2024
4205159;33371.8634;6592.3664;27382.7835;2024
4205175;3801.78;2610.3115;4722.9709;2024
4205191;5888.1509;4463.0479000000005;224.4058;2024
4205209;17481.3311;10083.0551;6127.3756;2024
4205308;31332.2968;19187.403599999998;8487.5157;2024
4205357;5224.1594;1734.2840999999999;2010.3984;2024
4205407;5416.7998;2890.7548;19476.2586;2024
4205431;9510.9152;4439.3152;2565.0585;2024
4205456;15199.2662;11903.8232;876.2849;2024
4205506;50735.0781;27123.6143;12671.7838;2024
4205555;14336.9872;7484.9204;3291.0387;2024
4205605;12860.2318;8148.4059;2277.5211;2024
4205704;3293.9302;1287.1298;4266.292;2024
4205803;42183.0207;3508.0193;38542.5296;2024
4205902;26309.0028;6378.7081;21707.2651;2024
4206009;3771.8314;1445.7887999999998;4625.5253;2024
4206108;28114.2948;8893.7485;16348.7415;2024
4206207;11837.2208;6348.9835;4234.0978;2024
4206306;3667.4803;604.8449999999999;12905.3179;2024
4206405;30427.6058;15470.204600000001;8214.265;2024
4206504;21990.2789;7354.8487000000005;10439.7209;2024
4206603;9389.3269;4896.7996;2019.8399;2024
4206652;17701.7087;8295.1671;7272.4026;2024
4206702;18839.4584;8644.1563;7600.8994;2024
4206751;12567.5675;7110.9752;4179.8487000000005;2024
4206801;13903.2652;5665.7591;5855.5511;2024
4206900;21208.7452;3322.4621;15653.0587;2024
4207007;17870.4166;9775.3211;1736.4882;2024
4207106;21101.1349;6520.5416;11391.0998;2024
4207205;33580.7723;14738.3898;22722.269099999998;2024
4207304;4512.5156;3508.9573;2577.9406000000004;2024
4207403;10844.6951;4993.6443;2166.8599;2024
4207502;25097.8717;2754.7999999999997;32461.4364;2024
4207577;10505.7249;4668.4785;3875.4842;2024
4207601;13503.8241;4559.536599999999;5253.7994;2024
4207650;18090.3367;5990.5046;6555.8408;2024
4207684;15178.8854;14486.768199999999;5053.5242;2024
4207700;21968.7111;8881.8819;8341.7573;2024
4207759;15387.3362;6527.870199999999;4701.1018;2024
4207809;28993.0622;11354.2166;13915.4502;2024
4207858;7412.5104;3501.0269;1648.7537;2024
4207908;51255.8411;25176.312700000002;18875.2874;2024
4208005;12438.2152;4455.8573;4698.5544;2024
4208104;112140.5084;46873.3687;62487.8078;2024
4208203;16013.4677;5053.6845;10524.626;2024
4208302;3241.4459;255.5621;3383.5802;2024
4208401;24394.8668;7648.044900000001;9023.5242;2024
4208450;18459.0184;766.5991;17403.7515;2024
4208500;29283.0384;11113.5583;9294.9157;2024
4208609;16825.3566;6396.5872;6686.4024;2024
4208708;31618.3867;12546.9794;21328.639900000002;2024
4208807;20449.7178;10484.555199999999;1969.2399;2024
4208906;38393.4359;4216.5065;34317.296299999995;2024
4208955;6383.0997;2844.5379000000003;1897.4196;2024
4209003;20021.4153;7069.5039;9116.2115;2024
4209102;216409.1031;9892.4838;70427.5784;2024
4209151;22934.556;6352.598900000001;30129.7953;2024
4209177;8276.4223;4816.4986;1554.1793;2024
4209201;6268.0315;2462.163;2011.1787;2024
4209300;242460.0694;63855.693;184804.02649999998;2024
4209409;11323.617;3326.4537;2171.8184;2024
4209458;6206.3511;3557.9449999999997;1016.2784;2024
4209508;6354.8673;2937.1482;2097.2879;2024
4209607;16656.3604;5794.972;14578.369700000001;2024
4209706;85358.9546;43077.8122;35337.6062;2024
4209805;23679.3363;6137.2249;17337.5034;2024
4209854;17025.1089;6067.986;7259.5832;2024
4209904;15740.2751;4897.1808;8075.5089;2024
4210001;21020.9857;3162.1249;15478.3847;2024
4210035;10204.0416;4119.0465;3933.5399;2024
4210050;23208.6107;11620.616000000002;11352.3118;2024
