cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs;quantidade_cadastros_car;area_car_uniao_ha;percentual_sobreposicao_car;mediana_modulos_fiscais_car;percentual_pequenos_imoveis_car;percentual_medios_imoveis_car;percentual_grandes_imoveis_car;percentual_area_pequenos_imoveis_car;percentual_area_medios_imoveis_car;percentual_area_grandes_imoveis_car;mapbiomas_agricultura_ha;mapbiomas_pastagem_ha;mapbiomas_silvicultura_ha
1302900;AM;80.0;1779.0;134043.0;;;False;2025;2361.0;2674636.0572;19.83;0.5966;87.18;9.18;3.64;4.01;4.46;91.54;16.1525;60908.5033;
1303007;AM;80.0;1316.0;53426.0;;;False;2025;2029.0;840218.9468;42.15;0.6107;91.35;5.98;2.67;11.3;6.64;82.06;65.7665;18435.5551;
1303106;AM;80.0;1392.0;45187.0;;;False;2025;742.0;514078.7963;6.03;0.352;93.92;4.67;1.41;6.15;3.7;90.15;;16290.3476;
1303205;AM;100.0;241.0;7583.0;;;False;2025;444.0;799532.9206;29.79;0.2802;93.17;4.1;2.73;2.4;1.36;96.25;44.4143;4779.0187;
1303304;AM;100.0;1006.0;124909.0;;;False;2025;2774.0;4286110.3234;53.56;1.2109;60.89;20.02;19.08;2.06;6.2;91.74;102.3953;216439.7829;
1303403;AM;80.0;2742.0;126998.0;;;False;2025;4188.0;283641.2118;22.46;0.3519;96.87;2.72;0.41;48.76;16.66;34.58;57.4191;37238.8758;
1303502;AM;100.0;1410.0;29456.0;;;False;2025;830.0;3096975.853;45.09;2.4436;63.91;17.06;19.04;1.42;1.68;96.9;;26934.478;
1303536;AM;80.0;1769.0;196920.0;;;False;2025;4566.0;764370.0721;40.57;0.597;92.46;3.01;4.53;18.5;7.08;74.42;4577.8763;26413.7625;
1303569;AM;80.0;1004.0;73712.0;;;False;2025;4640.0;452089.8595;44.28;0.2405;94.72;1.33;3.95;13.88;5.37;80.75;20.6346;16884.8279;
1303601;AM;100.0;1149.0;677.0;;;False;2025;19.0;1831943.8991;0.0;0.321;88.24;0.0;11.76;0.04;0.0;99.96;26.1935;2192.6341;
1303700;AM;100.0;754.0;3461.0;;;False;2025;404.0;229817.4663;26.3;0.063;91.93;4.69;3.39;4.01;4.79;91.2;;1940.1899;
1303809;AM;100.0;3928.0;9826.0;;;False;2025;661.0;871914.7175;0.97;0.0728;98.63;0.46;0.92;1.32;0.19;98.49;0.0;4090.8277;
1303908;AM;100.0;1052.0;2095.0;;;False;2025;142.0;511861.1874;1.34;0.097;82.27;12.06;5.67;0.63;2.38;96.99;;3206.5788;
1303957;AM;80.0;408.0;29624.0;;;False;2025;701.0;1148118.3627;12.27;0.6261;92.84;5.16;2.01;7.3;4.04;88.66;33.6712;12024.378;
1304005;AM;80.0;502.0;22478.0;;;False;2025;1724.0;374969.497;61.02;0.3776;93.57;0.89;5.54;8.85;1.26;89.89;17.5024;6956.6793;
1304062;AM;100.0;1889.0;3354.0;;;False;2025;241.0;20046.0416;21.47;0.0542;94.63;2.44;2.93;15.07;12.3;72.63;;2791.0548;
1304104;AM;100.0;1089.0;29850.0;;;False;2025;382.0;5965443.7827;51.63;7.1489;40.05;23.98;35.97;0.16;0.59;99.25;;27451.4968;
1304203;AM;100.0;1826.0;21291.0;;;False;2025;717.0;2223586.1433;33.55;0.2925;87.01;7.06;5.93;0.93;0.94;98.13;;14181.8488;
1304237;AM;100.0;367.0;3294.0;;;False;2025;65.0;230720.1025;38.71;0.4017;85.94;7.81;6.25;0.73;0.94;98.33;;1550.478;
1304260;AM;100.0;803.0;22301.0;;;False;2025;170.0;382968.8007;8.21;1.2586;78.66;14.63;6.71;3.38;4.11;92.51;;7320.0158;
1304302;AM;80.0;609.0;56099.0;;;False;2025;2025.0;2550557.1287;24.68;0.4581;91.0;5.91;3.08;12.25;11.82;75.93;40.5716;10279.6654;
1304401;AM;80.0;531.0;39725.0;;;False;2025;613.0;54860.2903;5.41;0.2758;96.08;2.28;1.63;47.61;13.68;38.7;16.6076;5080.8745;
1400027;RR;80.0;1412.0;384045.0;;;False;2025;1332.0;866862.4949;31.67;4.7495;47.25;28.22;24.53;6.08;29.01;64.91;3651.5796;42007.6057;
1400050;RR;80.0;1364.0;288480.0;10537.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;1830.0;419854.6102;18.89;0.7428;80.64;13.97;5.39;18.17;37.48;44.36;24043.4001;62402.9502;163.8951
1400100;RR;80.0;1295.0;171666.0;89498.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;3197.0;347409.2726;23.85;0.2558;89.54;8.51;1.96;24.27;35.93;39.8;29306.6381;6725.6206;1336.8365
1400159;RR;80.0;989.0;394361.0;151423.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;1628.0;531611.0256;19.03;1.2912;66.74;22.34;10.92;12.96;35.68;51.36;28974.2992;41062.8557;5589.1325
1400175;RR;80.0;2309.0;296137.0;29201.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;2326.0;535016.869;19.26;0.8526;85.88;9.28;4.84;24.91;22.21;52.87;2726.9478;108812.4238;2425.0952
1400209;RR;100.0;1199.0;189405.0;;;False;2025;3637.0;1188036.8745;29.58;0.8219;73.38;22.33;4.3;15.48;49.18;35.34;531.0209;105317.6012;
1400233;RR;100.0;941.0;152637.0;;;False;2025;3343.0;498703.7464;39.65;0.7223;91.56;5.11;3.33;29.84;21.36;48.8;24.760099999999998;85922.6806;
1400282;RR;100.0;701.0;116539.0;;;False;2025;1161.0;352810.7393;21.57;0.7905;83.82;11.39;4.79;22.39;28.1;49.51;1834.6265;97547.1348;2.8586
1400308;RR;100.0;1045.0;200145.0;;;False;2025;1902.0;383071.2897;16.61;0.696;87.93;10.23;1.84;32.84;36.61;30.54;5106.5745;174402.9199;35.7245
1400407;RR;80.0;982.0;23852.0;;;False;2025;149.0;18330.2821;17.47;0.0506;87.76;8.84;3.4;12.9;54.1;33.0;9410.4821;7245.0029;
1400456;RR;80.0;353.0;19543.0;;;False;2025;13.0;10718.1194;9.88;12.648;0.0;81.82;18.18;0.0;74.38;25.62;7389.4399;4746.6482;
1400472;RR;100.0;1919.0;208598.0;;;False;2025;6978.0;1896750.4582;37.8;0.5943;91.02;6.68;2.3;19.21;23.7;57.09;3044.359;137697.5018;
1400506;RR;100.0;514.0;89786.0;;;False;2025;1174.0;176343.7127;26.09;0.8104;94.61;5.01;0.38;60.75;27.65;11.59;400.98629999999997;40664.5745;
1400605;RR;100.0;481.0;81552.0;;;False;2025;1333.0;144693.4465;24.34;0.7549;97.03;2.33;0.64;55.76;12.36;31.88;;;
1400704;RR;80.0;1342.0;19535.0;;;False;2025;;;;;;;;;;;1595.3351;1797.784;
1500107;PA;70.0;9410.0;94116.0;;;False;2025;3656.0;99134.8833;38.29;0.0257;98.17;1.22;0.61;31.2;19.95;48.85;2917.9743;9493.929;54.4155
