cod_municipio;variavel;faixa_harmonizada;valor;ano_referencia;classificacao
1100122;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;519.0;2017;harmonizada
1100122;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1041.0;2017;harmonizada
1100122;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;30.0;2017;harmonizada
1100122;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;482.0;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;86286.0;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;27070.0;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;23200.0;2017;harmonizada
1100122;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;34344.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;ate_10_ha;431.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;mais_1000_ha;27.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;415.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;2477.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;36.0;2017;harmonizada
1100130;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;842.0;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;79112.0;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;81151.0;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;25175.0;2017;harmonizada
1100130;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;54165.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;ate_10_ha;1154.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;mais_1000_ha;14.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;189.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1216.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;17.0;2017;harmonizada
1100148;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;417.0;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;36942.0;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;29356.0;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;11409.0;2017;harmonizada
1100148;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;23928.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;ate_10_ha;456.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;mais_1000_ha;4.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;374.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;778.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;29.0;2017;harmonizada
1100155;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;511.0;2017;harmonizada
1100155;Área dos estabelecimentos agropecuários;ate_10_ha;1904.0;2017;harmonizada
1100155;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100155;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;62509.0;2017;harmonizada
