cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
2101509;872.0;46506.0;2017
2101608;2459.0;215675.0;2017
2101707;2457.0;5513.0;2017
2101731;892.0;608.0;2017
2101772;201.0;7175.0;2017
2101806;363.0;86052.0;2017
2101905;2009.0;5958.0;2017
2101939;456.0;12620.0;2017
2101970;188.0;22396.0;2017
2102002;1044.0;173023.0;2017
2102036;781.0;139486.0;2017
2102077;900.0;33387.0;2017
2102101;2416.0;68448.0;2017
2102150;697.0;68092.0;2017
2102200;2946.0;41712.0;2017
2102309;899.0;59176.0;2017
2102325;837.0;100739.0;2017
2102358;588.0;65284.0;2017
2102374;904.0;1660.0;2017
2102408;781.0;10395.0;2017
2102507;2149.0;24148.0;2017
2102556;207.0;47533.0;2017
2102606;433.0;21513.0;2017
2102705;1369.0;17946.0;2017
2102754;746.0;36898.0;2017
2102804;1253.0;275667.0;2017
2102903;379.0;24107.0;2017
2103000;4567.0;135289.0;2017
2103109;401.0;1779.0;2017
2103125;367.0;351.0;2017
2103158;425.0;30244.0;2017
2103174;536.0;69232.0;2017
2103208;4314.0;131594.0;2017
2103257;816.0;111463.0;2017
2103307;4808.0;152787.0;2017
2103406;974.0;23602.0;2017
2103505;1198.0;46150.0;2017
2103554;484.0;19906.0;2017
2103604;2826.0;68464.0;2017
2103703;443.0;654.0;2017
2103752;214.0;24219.0;2017
2103802;631.0;20925.0;2017
2103901;263.0;1654.0;2017
2104008;1423.0;28462.0;2017
2104057;1327.0;170684.0;2017
2104073;1019.0;101609.0;2017
2104081;758.0;69843.0;2017
2104099;1949.0;165359.0;2017
2104107;1088.0;124789.0;2017
2104206;317.0;12587.0;2017
2104305;226.0;13009.0;2017
2104404;1023.0;34818.0;2017
2104503;410.0;38636.0;2017
2104552;314.0;40089.0;2017
2104602;1114.0;47950.0;2017
2104628;179.0;11181.0;2017
2104651;315.0;47255.0;2017
2104677;550.0;40320.0;2017
2104701;459.0;14316.0;2017
2104800;3216.0;477768.0;2017
2104909;449.0;824.0;2017
2105005;853.0;15115.0;2017
2105104;1429.0;5501.0;2017
2105153;361.0;20343.0;2017
